"run","mode","total_s","child_core_s","transport_s","child_peak_gb","parent_peak_gb","duck_peak_gb","padroniza","prep_r","write_input","loop","jaro","inserts","register","delete","empates","write_input_db","merge","n_out","sum_lat","sum_lon","hash_end"
"base43M_r4","core",877,606.8,267.5,79.7,9.1,50.2,114.4,6,20.8,323.2,206.7,71.6,27,17.9,13.3,18.1,95.7,43882020,-649710680.318785,-1970455237.42254,2514010173
"cum_43M_core","core",568.6,337.8,228.3,46.9,9.1,29.7,23.6,8.6,18.4,155.9,81.1,41.4,25.2,8.2,14.7,3.1,77.5,43882020,-649710680.318785,-1970455237.42254,2514010173
"cum2_43M_core","core",685.3,448.2,234.6,46.9,9.1,29.7,26.9,11.6,22.6,197.3,89.4,59.5,36.2,12.1,22.4,3.5,120.8,43882020,-649710680.318785,-1970455237.42254,2514010173
